# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: sub.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             408   N   00000558   00004289   0000055a   x04_tp     00000001
             409   N   0000055a   fe5219e3   0000055c   x05_t0     00000002
             410   N   0000055c   00004e89   0000054e   ---        --------
             413   N   0000054e   00000001   00000550   x02_sp     0000000b
             414   N   00000550   000040b5   00000552   ---        --------
             415   N   00000552   402081b3   00000554   x01_ra     0000000d
             416   N   00000554   00000205   00000558   x03_gp     00000002
             417   N   00000558   00004289   0000055a   x04_tp     00000002
             418   N   0000055a   fe5219e3   0000055c   x05_t0     00000002
             419   N   0000055c   00004e89   00000560   ---        --------
             420   N   00000560   00004e7d   00000562   x29_t4     00000002
             421   N   00000562   09d19763   00000564   x28_t3     0000001f
             422   N   00000564   00004201   00000568   ---        --------
             423   N   00000568   0000412d   0000056a   x04_tp     00000000
             424   N   0000056a   00000001   0000056c   x02_sp     0000000b
             425   N   0000056c   000040b9   0000056e   ---        --------
             426   N   0000056e   00000001   00000570   x01_ra     0000000e
             427   N   00000570   402081b3   00000572   ---        --------
             428   N   00000572   00000205   00000576   x03_gp     00000003
             429   N   00000576   00004289   00000578   x04_tp     00000001
             430   N   00000578   fe5218e3   0000057a   x05_t0     00000002
             431   N   0000057a   00004e8d   0000056a   ---        --------
             434   N   0000056a   00000001   0000056c   x02_sp     0000000b
             435   N   0000056c   000040b9   0000056e   ---        --------
             436   N   0000056e   00000001   00000570   x01_ra     0000000e
             437   N   00000570   402081b3   00000572   ---        --------
             438   N   00000572   00000205   00000576   x03_gp     00000003
             439   N   00000576   00004289   00000578   x04_tp     00000002
             440   N   00000578   fe5218e3   0000057a   x05_t0     00000002
             441   N   0000057a   00004e8d   0000057e   ---        --------
             442   N   0000057e   02000e13   00000580   x29_t4     00000003
             443   N   00000580   07d19763   00000584   x28_t3     00000020
             444   N   00000584   00004201   00000588   ---        --------
             445   N   00000588   0000412d   0000058a   x04_tp     00000000
             446   N   0000058a   00000001   0000058c   x02_sp     0000000b
             447   N   0000058c   00000001   0000058e   ---        --------
             448   N   0000058e   000040bd   00000590   ---        --------
             449   N   00000590   402081b3   00000592   x01_ra     0000000f
             450   N   00000592   00000205   00000596   x03_gp     00000004
             451   N   00000596   00004289   00000598   x04_tp     00000001
             452   N   00000598   fe5218e3   0000059a   x05_t0     00000002
             453   N   0000059a   00004e91   0000058a   ---        --------
             456   N   0000058a   00000001   0000058c   x02_sp     0000000b
             457   N   0000058c   00000001   0000058e   ---        --------
             458   N   0000058e   000040bd   00000590   ---        --------
             459   N   00000590   402081b3   00000592   x01_ra     0000000f
             460   N   00000592   00000205   00000596   x03_gp     00000004
             461   N   00000596   00004289   00000598   x04_tp     00000002
             462   N   00000598   fe5218e3   0000059a   x05_t0     00000002
             463   N   0000059a   00004e91   0000059e   ---        --------
             464   N   0000059e   02100e13   000005a0   x29_t4     00000004
             465   N   000005a0   05d19763   000005a4   x28_t3     00000021
             466   N   000005a4   ff100093   000005a8   ---        --------
             467   N   000005a8   40100133   000005ac   x01_ra     fffffff1
             468   N   000005ac   00004ebd   000005b0   x02_sp     0000000f
             469   N   000005b0   02200e13   000005b2   x29_t4     0000000f
             470   N   000005b2   4ebd1e63   000005b6   x28_t3     00000022
             472   N   000005b6   02200093   000005ba   ---        --------
             474   N   000005ba   03d18133   000005be   x01_ra     00000020
             476   N   000005be   02000e93   000005c2   x02_sp     00000020
             478   N   000005c2   40000e13   000005c6   x29_t4     00000020
             480   N   000005c6   02001463   000005ca   x28_t3     00000023
             482   N   000005ca   023000b3   000005ce   ---        --------
             484   N   000005ce   00004e81   000005d2   x01_ra     00000000
             485   N   000005d2   02400e13   000005d4   x29_t4     00000000
             486   N   000005d4   01d09d63   000005d8   x28_t3     00000024
             487   N   000005d8   000040c1   000005dc   ---        --------
             488   N   000005dc   00004179   000005de   x01_ra     00000010
             489   N   000005de   40208033   000005e0   x02_sp     0000001e
             490   N   000005e0   00004e81   000005e4   ---        --------
             491   N   000005e4   02500e13   000005e6   x29_t4     00000000
             492   N   000005e6   4e811463   000005ea   x28_t3     00000025
             494   N   000005ea   02501863   000005ee   ---        --------
             496   N   000005ee   01d0000f   000005fe   ---        --------
             500   N   000005fe   000085f2   00000602   ---        --------
             501   N   00000602   00004501   00000604   x11_a1     00000025
             502   N   00000604   00000073   00000606   x10_a0     00000000
             503   E   00000606   45010073   000001c0   mstatus    00001800
             503   E   00000606   45010073   000001c0   mepc       00000606
             503   E   00000606   45010073   000001c0   mcause     0000000b
             503   E   00000606   45010073   000001c0   mtval      00000000
             506   N   000001c0   000047a1   000001c4   x14_a4     0000000b
             507   N   000001c4   02f70263   000001c6   x15_a5     00000008
             508   N   000001c6   000047a5   000001ca   ---        --------
             509   N   000001ca   00f70f63   000001cc   x15_a5     00000009
             510   N   000001cc   000047ad   000001d0   ---        --------
             511   N   000001d0   00f70c63   000001d2   x15_a5     0000000b
             512   N   000001d2   47ad0713   000001ea   ---        --------
             516   N   000001ea   07130013   00000620   ---        --------
             519   N   00000620   ad428293   00000624   x05_t0     00000620
             520   N   00000624   00008282   00000628   x05_t0     000000f4
             521   N   00000628   00000013   000000f4   ---        --------
             524   N   000000f4   0000006f   000000f8   ---        --------
             525   N   000000f8   ffffffff   000000f8   ---        --------
